alert_id,timestamp,market,tf,setup,direction,entry,stop,target,rr,method,trend_score,conviction,tier,leverage,suggested_hold,rsi,atr,adx,htf_bias,hour,vol_ratio,news_flag,status,result,bars_to_resolution,exit_price,last_rescore_conviction,partial_exit_done,session_id,w7_setup_boost,w7_market_mult,w7_applied_layers
cb0f18e6a4,2026-05-07T01:30:05.773991+00:00,SOL,15m,BB_REVERSION_BULL,LONG,88.39,87.7889,89.61,2.03,swing_level_sweet,10,85,HIGH,2,swing (1-3 days),35.33,0.3369,23.73,MIXED,1,1.12,0,CLOSED,LOSS,0,87.7889,85,,2026-05-07,-5,0,L1:BB_REVERSION_BULL-5
9356907ee1,2026-05-07T09:14:55.942253+00:00,GC,1h,BREAK_RETEST_BULL,LONG,4743.6,4726.7879,4790.8,2.81,swing_level_sweet,4,66,MEDIUM,,intraday (hours),66.65,19.5303,40.82,MIXED,9,0.44,0,CLOSED,LOSS,0,4726.7879,66,,2026-05-07,-5,0,L1:BREAK_RETEST_BULL-5
2625432a7a,2026-05-07T09:38:11.430984+00:00,SOL,15m,EMA21_PULLBACK_BULL,LONG,89.47,89.09,90.43,2.53,swing_level_sweet,10,85,HIGH,4,swing (1-3 days),56.3,0.3668,29.51,MIXED,9,1.0,0,CLOSED,LOSS,0,89.09,85,,2026-05-07,-5,0,L1:EMA21_PULLBACK_BULL-5
d1ae794621,2026-05-07T12:46:10.606703+00:00,SOL,1h,BREAK_RETEST_BULL,LONG,89.9,89.7291,90.43,3.1,swing_level,10,75,MEDIUM,5,intraday (hours),61.14,0.7023,23.82,HH_HL,12,0.66,0,CLOSED,LOSS,0,89.7291,75,,2026-05-07,-5,0,L1:BREAK_RETEST_BULL-5
5915489dbe,2026-05-07T13:48:54.382476+00:00,SOL,15m,APPROACH_SUPPORT,WATCH_LONG,88.39,88.1935,88.9,2.6,swing_level_sweet,10,92,HIGH,7,swing (1-3 days),38.32,0.393,20.38,HH_HL,13,1.38,0,CLOSED,LOSS,0,88.1935,92,,2026-05-07,0,0,
6857ec6a14,2026-05-07T14:34:33.852774+00:00,SOL,15m,APPROACH_SUPPORT,WATCH_LONG,88.18,87.981,88.9,3.62,swing_level,10,77,MEDIUM,5,intraday (hours),34.9,0.398,24.5,HH_HL,14,0.75,0,CLOSED,LOSS,0,87.981,77,,2026-05-07,0,0,
88b6422dd2,2026-05-07T15:08:24.849626+00:00,SOL,15m,BB_REVERSION_BULL,LONG,88.25,87.8376,89.26,2.45,swing_level_sweet,10,75,MEDIUM,3,intraday (hours),37.41,0.408,28.66,HH_HL,15,0.37,0,CLOSED,LOSS,0,87.8376,75,,2026-05-07,-8,0,L1:BB_REVERSION_BULL-8
a509410d71,2026-05-07T15:28:01.097689+00:00,SOL,15m,APPROACH_SUPPORT,WATCH_LONG,87.8,87.5792,88.9,4.98,swing_level,10,100,HIGH,6,swing (1-3 days),33.96,0.4415,29.29,HH_HL,15,2.19,0,CLOSED,LOSS,0,87.5792,100,,2026-05-07,0,0,
92d5261773,2026-05-07T15:40:15.458486+00:00,SOL,15m,BB_REVERSION_BULL,LONG,88.38,87.6676,90.01,2.29,swing_level_sweet,10,80,HIGH,2,swing (1-3 days),41.92,0.4414,30.54,HH_HL,15,0.56,0,CLOSED,LOSS,0,87.6676,80,,2026-05-07,-8,0,L1:BB_REVERSION_BULL-8
a417d5981f,2026-05-07T16:16:25.121513+00:00,NQ,15m,APPROACH_SUPPORT,WATCH_LONG,28690.25,28662.4275,28800.0,3.94,swing_level,10,67,MEDIUM,,intraday (hours),39.1,55.6451,22.39,HH_HL,16,1.91,0,CLOSED,LOSS,0,28662.4275,67,,2026-05-07,0,0,
